Sample,A2GEditingIndex,Subject,CellType,Organ,Development_day
148,H27634_Cerebellum_SRR12355497_Oligodendrocytes,0.62583372373,H27634,Oligodendrocytes,Cerebellum,115
149,H27471_Cerebellum-3_SRR12508220_Microglia,0.630354559982,H27471,Microglia,Cerebellum,110
150,H27474_Cerebrum-4_SRR12575332_Astrocytes,0.742862170521,H27474,Astrocytes,Cerebrum,89
151,H27471_Cerebellum-4_SRR12508221_Oligodendrocytes,0.665781456993,H27471,Oligodendrocytes,Cerebellum,110
152,H27477_Cerebellum-2_SRR12554979_Neurons,0.998426433823,H27477,Neurons,Cerebellum,125
153,H27471_Cerebellum-2_SRR12508219_Vascular-Endo,0.741462169343,H27471,Vascular-Endo,Cerebellum,110
154,H27477_Cerebellum-4_SRR12554981_In-Neurons,1.05531239164,H27477,In-Neurons,Cerebellum,125
155,H27474_Cerebrum-3A_SRR12907909_Microglia,0.505279491811,H27474,Microglia,Cerebrum,89
156,H27477_Cerebellum-4_SRR12554981_Neurons,1.02634448303,H27477,Neurons,Cerebellum,125
157,H27464_Cerebrum_SRR12355450_Microglia,0.778385161157,H27464,Microglia,Cerebrum,122
158,H27471_Cerebrum_SRR12355458_Neurons,0.895987534086,H27471,Neurons,Cerebrum,110
159,H27634_Cerebellum_SRR12355497_Astrocytes,0.737510673381,H27634,Astrocytes,Cerebellum,115
160,H27464_Cerebrum_SRR12355450_Blood-Cells,0.952717007763,H27464,Blood-Cells,Cerebrum,122
161,H27474_Cerebrum-3B_SRR12904120_Ex-Neurons,0.581824305954,H27474,Ex-Neurons,Cerebrum,89
162,H27474_Cerebrum-4_SRR12575332_Microglia,0.531646945051,H27474,Microglia,Cerebrum,89
163,H27471_Cerebrum_SRR12355458_Ex-Neurons,0.557059342346,H27471,Ex-Neurons,Cerebrum,110
164,H27098_Cerebrum_SRR12355426_Astrocytes,0.741687792829,H27098,Astrocytes,Cerebrum,120
165,H27474_Cerebrum-1_SRR12575329_Blood-Cells,0.592587397875,H27474,Blood-Cells,Cerebrum,89
166,H27474_Cerebrum-2_SRR12575330_Astrocytes,0.713373821677,H27474,Astrocytes,Cerebrum,89
167,H27432_Cerebrum_SRR12355448_In-Neurons,1.52952993104,H27432,In-Neurons,Cerebrum,119
168,H27474_Cerebellum_SRR12355483_Oligodendrocytes,0.53607723737,H27474,Oligodendrocytes,Cerebellum,89
169,H27098_Cerebrum_SRR12355426_In-Neurons,0.674352754181,H27098,In-Neurons,Cerebrum,120
170,H27477_Cerebellum-4_SRR12554981_Oligodendrocytes,0.672963773742,H27477,Oligodendrocytes,Cerebellum,125
171,H27471_Cerebellum-3_SRR12508220_In-Interneurons,0.715101184784,H27471,In-Interneurons,Cerebellum,110
172,H27472_Cerebellum_SRR12355469_Astrocytes,0.724409771979,H27472,Astrocytes,Cerebellum,94
173,H27474_Cerebrum-3A_SRR12907909_In-Neurons,0.853556245339,H27474,In-Neurons,Cerebrum,89
174,H27477_Cerebellum-1_SRR12554978_Ex-Neurons,0.818616431798,H27477,Ex-Neurons,Cerebellum,125
175,H27474_Cerebrum-3A_SRR12907909_Ex-Neurons,0.58306599773,H27474,Ex-Neurons,Cerebrum,89
176,H27473_Muscle_SRR12355479_Skeletal-Muscle-Cells,0.396763042112,H27473,Skeletal-Muscle-Cells,Muscle,90
177,H27913_Intestine_SRR12355520_Lymphatic-Endo,0.850906400296,H27913,Lymphatic-Endo,Intestine,125
178,H27472_Muscle_SRR12355474_Blood-Cells,1.16086235489,H27472,Blood-Cells,Muscle,94
179,H27772_Intestine_SRR12355505_Kidney,0.683512841756,H27772,Kidney,Intestine,100
180,H27473_Heart_SRR12355477_Ex-Neurons,0.729841542424,H27473,Ex-Neurons,Heart,90
181,H27477_Muscle_SRR12355490_Smooth-Muscle-Cells,1.62491536899,H27477,Smooth-Muscle-Cells,Muscle,125
182,H27913_Intestine_SRR12355520_Gut-Epi,1.10208816705,H27913,Gut-Epi,Intestine,125
183,H27477_Muscle_SRR12355490_Lymphatic-Endo,0.825471698113,H27477,Lymphatic-Endo,Muscle,125
184,H27799_Intestine_SRR12355509_Smooth-Muscle-Cells,0.939079165885,H27799,Smooth-Muscle-Cells,Intestine,74
185,H27771_Intestine_SRR12355502_Neurons,0.60396893874,H27771,Neurons,Intestine,112
186,H27474_Muscle_SRR12355486_Vascular-Endo,0.569606758115,H27474,Vascular-Endo,Muscle,89
187,H27295_Heart_SRR12355432_Ex-Neurons,0.55297500553,H27295,Ex-Neurons,Heart,122
188,H27474_Muscle_SRR12355486_Skeletal-Muscle-Cells,0.458046440891,H27474,Skeletal-Muscle-Cells,Muscle,89
189,H27098_Heart_SRR12355427_Neurons,0.94134176326,H27098,Neurons,Heart,120
190,H26547_Heart_SRR12355414_Neurons,1.04695227696,H26547,Neurons,Heart,113
191,H27634_Muscle_SRR12355499_Skeletal-Muscle-Cells,0.337033759636,H27634,Skeletal-Muscle-Cells,Muscle,115
192,H27295_Heart_SRR12355432_Immune-Cells,0.598012454949,H27295,Immune-Cells,Heart,122
193,H27799_Intestine_SRR12355509_Neurons,0.958126686239,H27799,Neurons,Intestine,74
194,H27909_Intestine_SRR12355517_Blood-Cells,0.540914367575,H27909,Blood-Cells,Intestine,96
195,H27471_Heart_SRR12355460_Lymphatic-Endo,0.745455850646,H27471,Lymphatic-Endo,Heart,110
196,H27431_Heart_SRR12355441_Lymphatic-Endo,0.795055356092,H27431,Lymphatic-Endo,Heart,110
197,H27471_Muscle_SRR12355463_Stromal-Cells,1.01754661021,H27471,Stromal-Cells,Muscle,110
198,H27474_Muscle_SRR12355486_Blood-Cells,0.48956454522,H27474,Blood-Cells,Muscle,89
199,H27772_Intestine_SRR12355505_Gut-Epi,0.703640225768,H27772,Gut-Epi,Intestine,100
200,H27472_Heart_SRR12355471_Vascular-Endo,0.639707562257,H27472,Vascular-Endo,Heart,94
201,H27295_Heart_SRR12355432_Stromal-Cells,0.759934124691,H27295,Stromal-Cells,Heart,122
202,H27772_Intestine_SRR12355505_Mesothelial-Cells,0.828839128166,H27772,Mesothelial-Cells,Intestine,100
203,H27772_Intestine_SRR12355505_Glia,0.758667333196,H27772,Glia,Intestine,100
204,H27474_Muscle_SRR12355486_Stromal-Cells,1.00708393694,H27474,Stromal-Cells,Muscle,89
205,H27771_Intestine_SRR12355502_Kidney,0.863856793127,H27771,Kidney,Intestine,112
206,H27431_Heart_SRR12355441_Neurons,1.0174959264,H27431,Neurons,Heart,110
207,H27799_Intestine_SRR12355509_Stromal-Cells,0.890390083442,H27799,Stromal-Cells,Intestine,74
208,H27799_Intestine_SRR12355509_Blood-Cells,0.474770072086,H27799,Blood-Cells,Intestine,74
209,H27295_Heart_SRR12355432_Smooth-Muscle-Cells,0.735821210205,H27295,Smooth-Muscle-Cells,Heart,122
210,H27473_Heart_SRR12355477_Lymphatic-Endo,0.623012343839,H27473,Lymphatic-Endo,Heart,90
211,H27909_Intestine_SRR12355517_Smooth-Muscle-Cells,1.81943014075,H27909,Smooth-Muscle-Cells,Intestine,96
212,H27909_Intestine_SRR12355517_Immune-Cells,0.950953141757,H27909,Immune-Cells,Intestine,96
213,H27431_Muscle_SRR12355444_Stromal-Cells,0.922538571656,H27431,Stromal-Cells,Muscle,110
214,H27423_Heart_SRR12355435_Smooth-Muscle-Cells,0.712758374911,H27423,Smooth-Muscle-Cells,Heart,115
215,H27634_Muscle_SRR12355499_Blood-Cells,0.316706254949,H27634,Blood-Cells,Muscle,115
216,H27876_Intestine_SRR12355513_Immune-Cells,0.916025173652,H27876,Immune-Cells,Intestine,117
217,H27464_Heart_SRR12355451_Smooth-Muscle-Cells,1.15230949133,H27464,Smooth-Muscle-Cells,Heart,122
218,H27471_Heart_SRR12355460_Ex-Neurons,0.942126514132,H27471,Ex-Neurons,Heart,110
219,H27471_Muscle_SRR12355463_Vascular-Endo,0.683219076854,H27471,Vascular-Endo,Muscle,110
220,H27472_Muscle_SRR12355474_Stromal-Cells,0.868528042477,H27472,Stromal-Cells,Muscle,94
