StrandDecidingMethod,Sample,A2CEditingIndex,A2GEditingIndex,A2TEditingIndex,C2AEditingIndex,C2GEditingIndex,C2TEditingIndex
StrandedData,5958sTS.Human.Testis.5w.Male,0.060548618,1.982625467,0.123332897,0.103076029,0.05576529,0.276584663
StrandedData,6104sTS.Human.Kidney.6mpb.Male,0.05036282,3.713868325,0.109784615,0.117771019,0.046729804,0.219960026
StrandedData,2041sTSb.Human.Brain.9w.Male,0.038805031,1.453050523,0.066420872,0.063232971,0.030989907,0.151351039
StrandedData,1437sTS.Human.Heart.11w.Male,0.034810902,1.024422952,0.074336725,0.062808547,0.032130264,0.17264181
StrandedData,2026sTSm.Human.Forebrain.CS21.Male,0.040815001,2.145176982,0.113726337,0.072038716,0.038070424,0.213990284
StrandedData,5914sTS.Human.Ovary.4w.Female,0.034925022,2.357129987,0.06515549,0.084873597,0.027264498,0.158813724
StrandedData,5905sTS.Human.Heart.94dpb.Male,0.053369611,1.299466412,0.491911417,0.152494416,0.036727213,0.493520164
StrandedData,6042sTS.Human.Heart.25ypb.Male,0.062960513,2.475033363,0.377324629,0.153082808,0.052215573,0.361541288
StrandedData,2019sTSm.Human.Liver.8w.Male,0.046208357,2.271964168,0.137710317,0.087517853,0.043241104,0.236322538
StrandedData,6047sTS.Human.Cerebellum.32ypb.Female,0.062298519,4.755326479,0.095268456,0.161134975,0.065446219,0.257451359
StrandedData,6096sTS.Human.Forebrain.4w.Male,0.041253903,1.55765215,0.076121774,0.090457066,0.033669703,0.167502754
StrandedData,5622sTS.Human.Hindbrain.4w.Female,0.040680584,1.569757631,0.071368932,0.089941639,0.036196294,0.170007279
StrandedData,5665sTSm.Human.Forebrain.16w.Female,0.036657677,1.752087764,0.065687288,0.082838835,0.030619982,0.15111068
StrandedData,5639sTS.Human.Ovary.6w.Female,0.035849109,1.97914821,0.100805318,0.092939984,0.030837434,0.173451045
StrandedData,1988sTS.Human.Testis.10w.Male,0.049582968,1.422092403,0.100924381,0.148405193,0.040895044,0.207191992
StrandedData,5696sTS.Human.Heart.13w.Male,0.029761152,0.753994673,0.121437984,0.104652924,0.026346331,0.184172923
StrandedData,5518sTS.Human.Testis.55ypb.Male,0.034832258,1.071412394,0.066850598,0.085706434,0.033268108,0.146838061
StrandedData,5575sTS.Human.Liver.17ypb.Male,0.064310096,2.190384593,0.102063927,0.171762967,0.067855394,0.299395857
StrandedData,5822sTS.Human.Heart.13ypb.Male,0.059380919,2.099407101,1.042413141,0.158160896,0.043280387,0.849340027
StrandedData,2040sTS.Human.Hindbrain.9w.Male,0.042700978,1.323438202,0.0873055,0.075752385,0.042122466,0.183897191
StrandedData,2029sTSb.Human.Hindbrain.CS21.Male,0.041452845,2.224679975,0.064843147,0.06015186,0.033943073,0.164977988
StrandedData,5911sTS.Human.KidneyTestis.4w.Male,0.037754108,2.101539711,0.077880386,0.082909992,0.030573124,0.190507483
StrandedData,2031sTS.Human.Hindbrain.CS22.Male,0.035526852,1.536357669,0.075527348,0.064884873,0.036437536,0.164263617
StrandedData,1443sTSm.Human.Heart.CS23.Male,0.034366276,1.0883059,0.064585006,0.056429961,0.029600273,0.159367061
StrandedData,5552sTS.Human.Liver.271dpb.Male,0.073031733,2.835332433,0.266231608,0.134261666,0.064148803,0.309914331
StrandedData,2022sTSb.Human.Liver.9w.Male,0.037721667,1.176196039,0.066911189,0.074002043,0.030416783,0.145095632
StrandedData,5565sTS.Human.Cerebellum.17ypb.Male,0.047913441,4.010114375,0.072189528,0.08399449,0.049158344,0.206920104
StrandedData,5549sTS.Human.Cerebellum.50ypb.Male,0.059108469,4.520584036,0.084023129,0.09504379,0.06180235,0.23539144
StrandedData,5532sTS.Human.Brain.16ypb.Male,0.055577765,3.73453199,0.084543187,0.108666094,0.054341711,0.208548721
StrandedData,5544sTS.Human.Liver.15dpb.Female,0.063076546,2.806129063,0.109505058,0.109153711,0.06226908,0.26604064
StrandedData,5773sTS.Human.Liver.20w.Male,0.032862049,1.450082315,0.057785161,0.074320284,0.032032037,0.142377141
StrandedData,5894sTS.Human.Brain.15dpb.Female,0.043026615,2.858489654,0.204812715,0.073266413,0.038733327,0.266126884
StrandedData,3571sTS.Human.Forebrain.CS20.Female,0.035782763,1.396708002,0.072898002,0.053396066,0.02850433,0.146839311
StrandedData,2050sTS.Human.Forebrain.9w.Female,0.041297862,1.482568577,0.077389579,0.084767146,0.038682295,0.17635298
StrandedData,2048sTSm.Human.Hindbrain.11w.Male,0.035388609,2.371476011,0.068259799,0.058191807,0.034116583,0.158499357
StrandedData,2080sTS.Human.Brain.CS23.Male,0.062914509,2.076338882,0.106997601,0.083618809,0.048959901,0.21445223
StrandedData,3675sTS.Human.Heart.CS17.Female,0.036533784,2.207264265,0.071182472,0.111956434,0.030455268,0.151025369
StrandedData,5667sTS.Human.Forebrain.18w.Male,0.041237969,1.885277176,0.177052151,0.104696441,0.036199407,0.242159355
StrandedData,5775sTS.Human.Kidney.20w.Male,0.031512169,1.86352663,0.052907491,0.067583265,0.027464293,0.130644003
StrandedData,3777sTS.Human.Heart.10w.Male,0.038421797,0.979195878,0.141989322,0.098762632,0.026493005,0.204279637
StrandedData,5957sTS.Human.Kidney.18w.Female,0.055740108,2.111015964,0.279646477,0.09593659,0.048692913,0.373720758
