Sample	Gene	TPM
v1_nomultiseg_5544sTS_Human_Liver_15dpb_Female_nomultiseg_bam	ADAR	123.153272986304
v1_nomultiseg_5545sTS_Human_Cerebellum_14ypb_Male_nomultiseg_bam	ADAR	154.835663338859
v1_nomultiseg_5546sTS_Human_Testis_17ypb_Male_nomultiseg_bam	ADAR	45.2492173323472
v1_nomultiseg_5547sTS_Human_Cerebellum_39ypb_Male_nomultiseg_bam	ADAR	164.373480584247
v1_nomultiseg_5548sTS_Human_Liver_15dpb_Male_nomultiseg_bam	ADAR	114.395714878434
v1_nomultiseg_5549sTS_Human_Cerebellum_50ypb_Male_nomultiseg_bam	ADAR	156.637595787174
v1_nomultiseg_5550sTS_Human_Testis_39ypb_Male_nomultiseg_bam	ADAR	48.307599340995
v1_nomultiseg_5551sTS_Human_Liver_39ypb_Male_nomultiseg_bam	ADAR	165.080689197203
v1_nomultiseg_5552sTS_Human_Liver_271dpb_Male_nomultiseg_bam	ADAR	84.327206231448
v1_nomultiseg_5553sTS_Human_Brain_17ypb_Male_nomultiseg_bam	ADAR	86.9382082548217
v1_nomultiseg_5555sTS_Human_Cerebellum_221dpb_Male_nomultiseg_bam	ADAR	151.57961995084
v1_nomultiseg_5556sTS_Human_Liver_2ypb_Female_nomultiseg_bam	ADAR	165.112977598482
v1_nomultiseg_5557sTS_Human_Brain_53ypb_Male_nomultiseg_bam	ADAR	201.245000492551
v1_nomultiseg_5559sTS_Human_Cerebellum_2ypb_Female_nomultiseg_bam	ADAR	156.077934601224
v1_nomultiseg_5560sTS_Human_Testis_221dpb_Male_nomultiseg_bam	ADAR	131.138196974605
v1_nomultiseg_5561sTS_Human_Testis_14ypb_Male_nomultiseg_bam	ADAR	89.5762931216384
v1_nomultiseg_5562sTS_Human_Cerebellum_8ypb_Male_nomultiseg_bam	ADAR	159.170781783908
v1_nomultiseg_5563sTS_Human_Liver_39ypb_Male_nomultiseg_bam	ADAR	114.19751524169
